state,gender,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
MS,F,354.0,296.0,358.0,372.0,417.0,475.0,496.0,502.0,555.0,631.0,656.0,599.0,653.0,672.0,684.0,636.0,729.0,662.0,604.0,628.0,649.0,554.0,583.0,553.0,549.0,563.0,528.0,523.0,527.0,454.0,492.0,510.0,511.0,485.0,485.0,464.0,505.0,484.0,486.0,468.0,471.0,410.0,423.0,340.0,355.0,344.0,328.0,238.0,239.0,219.0,206.0,149.0,164.0,152.0,115.0,89.0,83.0,58.0,61.0,62.0,43.0,34.0,36.0,32.0,26.0,20.0,17.0,20.0,18.0,15.0,24.0,21.0,16.0,13.0,16.0,12.0,13.0,10.0,9.0,14.0,13.0,13.0,10.0,9.0,12.0,13.0,12.0,11.0,9.0,14.0,12.0,5.0,15.0,,8.0,5.0,14.0,8.0,6.0,10.0,,5.0,9.0,13.0,16.0,10.0,16.0,11.0,18.0
MS,M,,,6.0,,,,7.0,,6.0,,5.0,,5.0,,5.0,,6.0,,12.0,7.0,,,6.0,6.0,6.0,8.0,,7.0,7.0,,,,7.0,5.0,5.0,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,F,5.0,,,,8.0,9.0,13.0,7.0,12.0,7.0,6.0,7.0,5.0,7.0,9.0,7.0,,5.0,7.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,13.0,9.0,15.0,6.0,8.0,6.0,6.0,5.0,5.0,7.0,,6.0,6.0,,,,,8.0,5.0,,,8.0,6.0,5.0,,5.0,,,,,,,,,,6.0,6.0,,,
NC,F,401.0,373.0,455.0,521.0,586.0,766.0,770.0,834.0,883.0,883.0,939.0,935.0,982.0,974.0,958.0,986.0,863.0,859.0,863.0,819.0,816.0,674.0,778.0,727.0,697.0,689.0,594.0,607.0,603.0,589.0,555.0,536.0,600.0,544.0,522.0,446.0,454.0,469.0,431.0,421.0,386.0,360.0,318.0,259.0,242.0,222.0,215.0,185.0,154.0,140.0,118.0,109.0,110.0,81.0,92.0,58.0,56.0,50.0,56.0,36.0,38.0,30.0,16.0,17.0,22.0,26.0,21.0,17.0,25.0,25.0,26.0,22.0,26.0,19.0,32.0,19.0,23.0,17.0,23.0,17.0,16.0,17.0,18.0,25.0,20.0,29.0,27.0,35.0,29.0,28.0,21.0,26.0,32.0,25.0,24.0,22.0,19.0,26.0,20.0,21.0,28.0,28.0,23.0,19.0,29.0,30.0,33.0,30.0,55.0
NC,M,,,,,,,,,,5.0,6.0,,,7.0,8.0,7.0,5.0,5.0,,11.0,5.0,8.0,7.0,5.0,8.0,8.0,8.0,8.0,,5.0,,5.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,F,,5.0,7.0,6.0,6.0,13.0,14.0,19.0,13.0,15.0,14.0,13.0,15.0,11.0,10.0,8.0,10.0,10.0,5.0,12.0,,6.0,7.0,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,6.0,5.0,8.0,,,,5.0,5.0,,,,,6.0,,,,5.0,,,,,,,5.0,,,,,,5.0,5.0,5.0,9.0,5.0,,
NE,F,,,,9.0,,6.0,6.0,,5.0,,,9.0,10.0,5.0,,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,13.0,9.0,8.0,6.0,7.0,,,5.0,7.0,,6.0,,5.0,7.0,6.0,5.0,5.0,8.0,6.0,7.0,9.0,5.0,7.0,,5.0,,6.0,,,,7.0,,,5.0,,5.0,7.0,8.0,6.0,16.0
NH,F,,,,9.0,7.0,12.0,14.0,9.0,5.0,9.0,9.0,16.0,9.0,7.0,11.0,,8.0,,5.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,6.0,5.0,,,7.0,,,7.0,,,,,,,,,,,5.0,,,,,,,,,,6.0
NJ,F,11.0,9.0,13.0,9.0,14.0,15.0,10.0,10.0,14.0,18.0,20.0,21.0,9.0,19.0,16.0,20.0,21.0,15.0,16.0,16.0,13.0,19.0,13.0,9.0,,5.0,8.0,,9.0,,11.0,5.0,6.0,7.0,5.0,10.0,12.0,15.0,17.0,11.0,12.0,9.0,15.0,9.0,21.0,12.0,14.0,17.0,9.0,17.0,11.0,14.0,24.0,12.0,11.0,9.0,8.0,10.0,15.0,,6.0,8.0,8.0,5.0,6.0,6.0,6.0,6.0,11.0,17.0,14.0,11.0,7.0,12.0,6.0,9.0,10.0,11.0,6.0,14.0,14.0,11.0,16.0,23.0,16.0,18.0,22.0,29.0,23.0,22.0,18.0,19.0,20.0,16.0,20.0,15.0,14.0,13.0,14.0,16.0,14.0,10.0,14.0,15.0,14.0,17.0,7.0,10.0,15.0
NM,F,7.0,10.0,15.0,17.0,23.0,27.0,26.0,21.0,36.0,37.0,32.0,35.0,34.0,30.0,30.0,26.0,35.0,24.0,30.0,32.0,36.0,37.0,40.0,25.0,26.0,40.0,29.0,29.0,31.0,18.0,34.0,28.0,23.0,22.0,28.0,29.0,20.0,21.0,27.0,13.0,19.0,12.0,13.0,12.0,13.0,15.0,14.0,12.0,15.0,9.0,15.0,7.0,,,7.0,7.0,11.0,5.0,,5.0,,,6.0,7.0,8.0,,6.0,,5.0,5.0,,,6.0,,,5.0,,,,,,,,,,5.0,,,6.0,,,,,,,,,,,,,,5.0,,,,6.0,7.0,7.0
