state,gender,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
IL,F,1076.0,1207.0,1594.0,1956.0,2332.0,3043.0,3287.0,3474.0,3381.0,3395.0,3472.0,3674.0,3519.0,3607.0,3553.0,3498.0,3337.0,3575.0,3415.0,3276.0,3442.0,3118.0,2904.0,2754.0,2670.0,2569.0,2680.0,2772.0,2734.0,2634.0,2770.0,2797.0,3205.0,3352.0,3110.0,2931.0,3493.0,3939.0,3647.0,3728.0,3812.0,3779.0,3871.0,3806.0,4340.0,4100.0,4011.0,3992.0,3660.0,3699.0,3569.0,3156.0,2781.0,2657.0,2557.0,2101.0,1706.0,1440.0,1319.0,1170.0,1045.0,883.0,692.0,637.0,628.0,577.0,503.0,547.0,490.0,537.0,623.0,598.0,519.0,523.0,426.0,449.0,394.0,457.0,392.0,415.0,393.0,439.0,395.0,420.0,348.0,356.0,314.0,320.0,293.0,279.0,293.0,247.0,261.0,239.0,205.0,196.0,172.0,157.0,127.0,106.0,96.0,92.0,85.0,105.0,86.0,91.0,72.0,78.0,84.0
IL,M,6.0,,,5.0,8.0,12.0,9.0,8.0,,7.0,9.0,11.0,,11.0,8.0,14.0,11.0,18.0,11.0,15.0,22.0,21.0,11.0,12.0,8.0,11.0,8.0,23.0,19.0,11.0,15.0,16.0,9.0,10.0,13.0,9.0,6.0,8.0,,9.0,,5.0,9.0,6.0,11.0,9.0,5.0,15.0,7.0,15.0,10.0,7.0,9.0,5.0,6.0,14.0,5.0,,10.0,,5.0,6.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,F,619.0,612.0,935.0,1104.0,1349.0,1977.0,2223.0,2231.0,2316.0,2209.0,2394.0,2633.0,2376.0,2398.0,2399.0,2221.0,2063.0,2188.0,2052.0,1794.0,1885.0,1581.0,1617.0,1497.0,1466.0,1407.0,1370.0,1437.0,1459.0,1278.0,1285.0,1360.0,1547.0,1587.0,1407.0,1331.0,1611.0,1610.0,1663.0,1560.0,1517.0,1620.0,1540.0,1525.0,1602.0,1471.0,1490.0,1477.0,1354.0,1283.0,1257.0,1151.0,1016.0,975.0,956.0,845.0,684.0,646.0,537.0,504.0,517.0,422.0,357.0,320.0,313.0,284.0,272.0,300.0,300.0,282.0,288.0,278.0,292.0,250.0,208.0,210.0,198.0,186.0,193.0,206.0,215.0,204.0,185.0,182.0,200.0,178.0,195.0,165.0,160.0,155.0,159.0,138.0,129.0,126.0,146.0,115.0,103.0,92.0,90.0,75.0,69.0,81.0,63.0,59.0,72.0,61.0,69.0,72.0,56.0
IN,M,,5.0,,,6.0,,,,,,10.0,7.0,6.0,5.0,6.0,,7.0,9.0,6.0,8.0,,9.0,7.0,10.0,7.0,7.0,6.0,5.0,5.0,5.0,,10.0,,10.0,6.0,,,,5.0,,,5.0,,,,5.0,,5.0,,5.0,5.0,5.0,,,5.0,5.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,F,251.0,278.0,369.0,437.0,527.0,671.0,757.0,856.0,884.0,829.0,890.0,1058.0,979.0,982.0,952.0,925.0,905.0,987.0,861.0,845.0,860.0,838.0,792.0,771.0,814.0,673.0,711.0,649.0,738.0,712.0,662.0,642.0,688.0,746.0,745.0,644.0,739.0,812.0,727.0,796.0,681.0,747.0,724.0,733.0,655.0,717.0,631.0,615.0,554.0,537.0,513.0,427.0,425.0,396.0,358.0,273.0,235.0,212.0,198.0,188.0,153.0,138.0,105.0,109.0,90.0,107.0,83.0,93.0,110.0,89.0,98.0,118.0,119.0,86.0,98.0,87.0,83.0,64.0,73.0,85.0,62.0,64.0,63.0,84.0,81.0,53.0,73.0,66.0,60.0,51.0,67.0,49.0,44.0,56.0,51.0,39.0,29.0,31.0,45.0,27.0,26.0,23.0,34.0,33.0,33.0,27.0,30.0,32.0,36.0
KS,M,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,F,793.0,827.0,984.0,1189.0,1322.0,1807.0,1834.0,1913.0,2138.0,2162.0,2339.0,2510.0,2442.0,2345.0,2537.0,2342.0,2312.0,2351.0,2165.0,1994.0,2001.0,1874.0,1951.0,1853.0,1881.0,1810.0,1691.0,1726.0,1783.0,1732.0,1787.0,1698.0,1747.0,1678.0,1599.0,1434.0,1734.0,1814.0,1673.0,1593.0,1559.0,1464.0,1385.0,1409.0,1465.0,1312.0,1243.0,1197.0,1130.0,1130.0,997.0,966.0,945.0,841.0,863.0,743.0,595.0,586.0,511.0,446.0,462.0,461.0,369.0,338.0,343.0,339.0,310.0,318.0,305.0,310.0,352.0,302.0,256.0,247.0,261.0,221.0,212.0,202.0,174.0,211.0,188.0,188.0,185.0,182.0,179.0,162.0,151.0,160.0,149.0,132.0,143.0,120.0,119.0,100.0,80.0,97.0,105.0,86.0,71.0,72.0,51.0,63.0,59.0,71.0,41.0,42.0,52.0,62.0,55.0
KY,M,,,6.0,7.0,5.0,8.0,10.0,6.0,5.0,7.0,5.0,,7.0,10.0,14.0,14.0,13.0,9.0,12.0,10.0,11.0,12.0,17.0,8.0,9.0,14.0,8.0,12.0,8.0,6.0,10.0,9.0,8.0,9.0,,6.0,5.0,,8.0,,,,,,,,,,,,,7.0,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,
LA,F,586.0,502.0,658.0,634.0,747.0,817.0,881.0,957.0,1111.0,1164.0,1301.0,1195.0,1268.0,1263.0,1289.0,1304.0,1340.0,1378.0,1266.0,1306.0,1200.0,1227.0,1312.0,1140.0,1245.0,1213.0,1250.0,1298.0,1327.0,1485.0,1412.0,1553.0,1625.0,1604.0,1639.0,1468.0,1599.0,1642.0,1485.0,1557.0,1581.0,1515.0,1506.0,1472.0,1563.0,1342.0,1348.0,1320.0,1212.0,1129.0,1087.0,1012.0,963.0,871.0,937.0,684.0,622.0,535.0,441.0,411.0,448.0,355.0,282.0,261.0,220.0,241.0,235.0,224.0,227.0,231.0,250.0,230.0,250.0,227.0,236.0,219.0,195.0,164.0,169.0,153.0,170.0,175.0,161.0,154.0,184.0,146.0,139.0,123.0,144.0,119.0,110.0,104.0,114.0,114.0,88.0,97.0,79.0,62.0,75.0,64.0,61.0,57.0,63.0,58.0,66.0,57.0,57.0,56.0,55.0
LA,M,,,7.0,,,,,,,,5.0,,7.0,6.0,,5.0,,11.0,5.0,7.0,10.0,5.0,7.0,6.0,9.0,8.0,11.0,9.0,6.0,9.0,10.0,6.0,11.0,6.0,6.0,,6.0,,5.0,5.0,,5.0,5.0,6.0,5.0,,6.0,5.0,,,,,,7.0,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
